year,sex,name_raw,name_canon,reason,births
2019,MALE,INFANT,INFANT,placeholder,15
2021,MALE,INFANT,INFANT,placeholder,13
2024,FEMALE,INFANT,INFANT,placeholder,13
2020,MALE,INFANT,INFANT,placeholder,10
2023,MALE,INFANT,INFANT,placeholder,10
2019,FEMALE,INFANT,INFANT,placeholder,9
2020,FEMALE,INFANT,INFANT,placeholder,8
2021,FEMALE,INFANT,INFANT,placeholder,8
2022,MALE,INFANT,INFANT,placeholder,8
2024,MALE,INFANT,INFANT,placeholder,8
2018,MALE,INFANT,INFANT,placeholder,5
2022,FEMALE,INFANT,INFANT,placeholder,5
2023,FEMALE,INFANT,INFANT,placeholder,5
2018,FEMALE,BABY GIRL,BABY GIRL,placeholder,3
2018,FEMALE,INFANT,INFANT,placeholder,3
2019,FEMALE,BABY,BABY,placeholder,2
2022,MALE,BABY,BABY,placeholder,2
2019,FEMALE,BABY B,BABY B,placeholder,2
2018,FEMALE,INFANT BABY,INFANT BABY,placeholder,2
2017,MALE,INFANT BABY BOY,INFANT BABY BOY,placeholder,2
2018,MALE,INFANT BABY BOY,INFANT BABY BOY,placeholder,2
2018,FEMALE,INFANT GIRL,INFANT GIRL,placeholder,2
2020,FEMALE,BABY,BABY,placeholder,1
2020,MALE,BABY,BABY,placeholder,1
2021,FEMALE,BABY,BABY,placeholder,1
2021,MALE,BABY,BABY,placeholder,1
2023,MALE,BABY,BABY,placeholder,1
2024,MALE,BABY,BABY,placeholder,1
2019,FEMALE,BABY A,BABY A,placeholder,1
2021,FEMALE,BABY A,BABY A,placeholder,1
2018,MALE,BABY BOY,BABY BOY,placeholder,1
2019,MALE,BABY BOY,BABY BOY,placeholder,1
2020,MALE,BABY BOY,BABY BOY,placeholder,1
2021,MALE,BABY BOY,BABY BOY,placeholder,1
2024,MALE,BABY BOY,BABY BOY,placeholder,1
2018,MALE,BABY BOY  DARLISSA,BABY BOY DARLISSA,placeholder,1
2019,FEMALE,BABY GIRL,BABY GIRL,placeholder,1
2020,FEMALE,BABY GIRL,BABY GIRL,placeholder,1
2019,MALE,III,III,placeholder,1
2017,MALE,INFANT,INFANT,placeholder,1
2022,UNKNOWN,INFANT,INFANT,placeholder,1
2020,FEMALE,INFANT A,INFANT A,placeholder,1
2020,FEMALE,INFANT B,INFANT B,placeholder,1
2018,MALE,INFANT BABY,INFANT BABY,placeholder,1
2017,FEMALE,INFANT BABY GIRL,INFANT BABY GIRL,placeholder,1
2018,FEMALE,INFANT BABY GIRL,INFANT BABY GIRL,placeholder,1
2018,MALE,INFANT BOY,INFANT BOY,placeholder,1
2019,MALE,INFANT BOY,INFANT BOY,placeholder,1
2018,MALE,INFANT MALE,INFANT MALE,placeholder,1
2018,MALE,J,J,single character,1
2020,MALE,J,J,single character,1
2017,MALE,JR,JR,placeholder,1
2018,MALE,JR,JR,placeholder,1
2022,MALE,JR,JR,placeholder,1
2018,MALE,MR.LOVING,MR.LOVING,placeholder,1
2020,MALE,O,O,single character,1
2018,MALE,T,T,single character,1
