name_canon,n_variants,variants,births
LIAM,3,LIAM | LIÁM | LÍAM,848
OLIVER,2,OLIVER | ÓLIVER,651
MATEO,4,MATEO | MATEÓ | MATEÒ | MATÉO,644
MIA,3,MIA | MIÁ | MÍA,634
CAMILA,3,CAMILA | CAMILÁ | CAMÍLA,575
SEBASTIAN,4,SEBASTIAN | SEBASTIÁN | SEBASTIÀN | SEBASTÍAN,566
BENJAMIN,2,BENJAMIN | BENJAMÍN,557
SOFIA,2,SOFIA | SOFÍA,527
DYLAN,2,DYLAN | DYLÁN,524
AMELIA,2,AMELIA | AMÉLIA,456
JULIAN,2,JULIAN | JULIÁN,434
DAVID,2,DAVID | DAVÍD,415
LOGAN,2,LOGAN | LOGÁN,412
JOSE,3,JOSE | JOSÉ | JÓSE,394
ZOE,5,ZOE | ZOÉ | ZOË | ZÓE | ZÖE,386
PENELOPE,2,PENELOPE | PENÉLOPE,364
LEO,3,LEO | LEÓ | LÉO,353
ELEANOR,2,ELEANOR | ELÉANOR,347
ANGEL,4,ANGEL | ANGÉL | ANGÈL | ÁNGEL,339
ELIAS,2,ELIAS | ELÍAS,323
LUCA,2,LUCA | LUCÁ,320
GABRIEL,2,GABRIEL | GABRIÉL,312
CALEB,2,CALEB | CALÈB,293
THOMAS,2,THOMAS | THOMÁS,285
GAEL,3,GAEL | GAÉL | GAËL,281
ARIA,2,ARIA | ARÍA,275
CHLOE,3,CHLOE | CHLOÉ | CHLOË,272
ADRIAN,2,ADRIAN | ADRIÁN,271
AARON,3,AARON | AARÓN | AÁRON,267
GENESIS,3,GENESIS | GÉNESIS | GÈNESIS,237
LUIS,2,LUIS | LUÍS,224
ROWAN,2,ROWAN | RÖWAN,217
JESUS,2,JESUS | JESÚS,215
NAOMI,2,NAOMI | NAOMÍ,214
ROMAN,2,ROMAN | ROMÁN,199
DAMIAN,4,DAMIAN | DAMIÁN | DAMÍAN | DAMIAN JR,198
NATALIA,2,NATALIA | NATÁLIA,195
EMILIANO,2,EMILIANO | EMILÍANO,184
ALICE,2,ALICE | ALICË,177
LUCIA,2,LUCIA | LUCÍA,177
MARIA,2,MARIA | MARÍA,166
ADAM,2,ADAM | ADAM  II,165
MATIAS,2,MATIAS | MATÍAS,162
ANDREA,2,ANDREA | AÑDREA,161
NICOLAS,2,NICOLAS | NICOLÁS,155
THEO,2,THEO | THÉO,151
IVAN,2,IVAN | IVÁN,138
EDEN,2,EDEN | EDÉN,137
OSCAR,3,OSCAR | ÓSCAR | ÕSCAR,135
ELOISE,3,ELOISE | ELOÏSE | ÉLOÏSE,132
JOAQUIN,3,JOAQUIN | JOAQUÍN | JOAQUÌN,131
JASON,2,JASON | JASÓN,128
JAVIER,2,JAVIER | JAVIER JR.,128
FELIX,2,FELIX | FÉLIX,127
LEON,3,LEON | LEÓN | LÉON,123
VICTOR,2,VICTOR | VÍCTOR,123
MATTEO,2,MATTEO | MATTEÓ,122
ANDRES,3,ANDRES | ANDRÉS | ANDRÈS,117
ANTONIO,2,ANTONIO | ANTONIO JR,116
JOSUE,4,JOSUE | JOSUÉ | JOSUÈ | JOSÚE,114
GABRIELLA,2,GABRIELLA | GABRIELLÁ,113
JUDAH,2,JUDAH | JUDÄH,107
JESSE,2,JESSE | JESSÉ,106
FERNANDO,2,FERNANDO | FERNANDO JR.,101
ALAIA,4,ALAIA | ALAÍA | ALAÏA | ALÁIA,94
GENEVIEVE,2,GENEVIEVE | GENEVIÉVE,92
AMARI,2,AMARI | AMARÍ,90
ARI,2,ARI | ARÍ,89
MANUEL,2,MANUEL | MAÑUEL,87
AMIR,2,AMIR | AMÍR,83
LIA,2,LIA | LÍA,81
MILAN,3,MILAN | MILÁN | MÍLAN,79
KAIA,2,KAIA | KAÏA,76
SIMON,2,SIMON | SIMÓN,76
ELIAN,2,ELIAN | ELIÁN,72
PETER,2,PETER | PÉTER,69
HECTOR,2,HECTOR | HÉCTOR,67
PEDRO,2,PEDRO | PEDRO JR,66
ARIELLA,2,ARIELLA | ARIELLÁ,64
CESAR,3,CESAR | CESÁR | CÉSAR,63
MARTIN,2,MARTIN | MARTÍN,63
ALEJANDRA,2,ALEJANDRA | ALÉJANDRA,61
ROMEO,2,ROMEO | ROMÉO,61
FABIAN,2,FABIAN | FABIÁN,60
TALIA,2,TALIA | TALÍA,60
SAMARA,2,SAMARA | SÁMARA,59
ESME,2,ESME | ESMÉ,56
ESTEBAN,2,ESTEBAN | ESTEBÁN,56
ANDRE,2,ANDRE | ANDRÉ,54
ADAN,2,ADAN | ADÁN,53
GISELLE,2,GISELLE | GÍSELLE,53
HELEN,2,HELEN | HELÉN,53
LEIA,3,LEIA | LEÍA | LEÏA,53
ISAIAS,2,ISAIAS | ISAÍAS,51
LENA,2,LENA | LÉNA,51
FATIMA,2,FATIMA | FÁTIMA,50
SAUL,2,SAUL | SAÚL,50
MOISES,3,MOISES | MOISÉS | MOÍSES,49
ANAHI,2,ANAHI | ANAHÍ,47
HARLEY,2,HARLEY | HARLÉY,45
CELINE,3,CELINE | CELINÉ | CÉLINE,44
RUBEN,2,RUBEN | RUBÉN,44
RAUL,2,RAUL | RAÚL,43
ARES,2,ARES | ARÉS,42
ALANI,2,ALANI | ALANÍ,41
KHLOE,2,KHLOE | KHLOÉ,39
NOEMI,3,NOEMI | NOEMÍ | NOÉMI,39
JAZMIN,2,JAZMIN | JAZMÍN,37
JONAS,2,JONAS | JONÁS,37
BEATRICE,2,BEATRICE | BEÁTRICE,36
GIANNI,2,GIANNI | GIÁNNI,36
ALEXANDRIA,2,ALEXANDRIA | ALEXANDRÍA,35
SARAI,3,SARAI | SARAÍ | SARAÌ,35
AISHA,2,AISHA | AÍSHA,34
TOBIAS,2,TOBIAS | TOBÍAS,34
MAXIMO,2,MAXIMO | MÁXIMO,33
ALESSANDRO,2,ALESSANDRO | ALÉSSANDRO,31
DARIO,3,DARIO | DARIÓ | DARÍO,31
ALEXIA,2,ALEXIA | ALEXÍA,30
DORIAN,2,DORIAN | DORÍAN,30
KATALEYA,2,KATALEYA | KATALEYÁ,30
LEONIDAS,3,LEONIDAS | LEÓNIDAS | LÉONIDAS,30
ELIAM,2,ELIAM | ELIÁM,29
NOE,2,NOE | NOÉ,29
RAPHAEL,2,RAPHAEL | RAPHAËL,29
