year,sex,name_canon,n,name_display
2017,FEMALE,A'A NAYHIA,1,A'A Nayhia
2017,FEMALE,A'BRIELLA,1,A'Briella
2017,FEMALE,A'KADRIA,1,A'Kadria
2017,FEMALE,A'LABYRINTH,1,A'Labyrinth
2017,FEMALE,A'LAYAH,1,A'Layah
2017,FEMALE,A'MARI,1,A'Mari
2017,FEMALE,A'MORA,1,A'Mora
2017,FEMALE,A'URORA,1,A'Urora
2017,FEMALE,A'ZYLAH,1,A'Zylah
2017,FEMALE,AADHYA,2,Aadhya
2017,FEMALE,AADITRI,1,Aaditri
2017,FEMALE,AAHANA,2,Aahana
2017,FEMALE,AALEYAH,1,Aaleyah
2017,FEMALE,AALIYAH,17,Aaliyah
2017,FEMALE,AAMBAL KANNAMA,1,Aambal Kannama
2017,FEMALE,AANAYA,1,Aanaya
2017,FEMALE,AANIYAH,1,Aaniyah
2017,FEMALE,AANYA,2,Aanya
2017,FEMALE,AARADHYA,1,Aaradhya
2017,FEMALE,AARIA,1,Aaria
2017,FEMALE,AARIYA,1,Aariya
2017,FEMALE,AARNA,3,Aarna
2017,FEMALE,AAROHI,1,Aarohi
2017,FEMALE,AARVI,1,Aarvi
2017,FEMALE,AARYA,6,Aarya
2017,FEMALE,AARYN,1,Aaryn
2017,FEMALE,AASHI,1,Aashi
2017,FEMALE,AASHVI,2,Aashvi
2017,FEMALE,AAVYA,3,Aavya
2017,FEMALE,AAYATI,1,Aayati
2017,FEMALE,ABBY,2,Abby
2017,FEMALE,ABEERA,1,Abeera
2017,FEMALE,ABHAYA,1,Abhaya
2017,FEMALE,ABIGAEL,1,Abigael
2017,FEMALE,ABIGAIL,59,Abigail
2017,FEMALE,ABIGAIL HEAVEN,1,Abigail Heaven
2017,FEMALE,ABIGALE,1,Abigale
2017,FEMALE,ABREE,1,Abree
2017,FEMALE,ABRIL,4,Abril
2017,FEMALE,ABY,1,Aby
2017,FEMALE,ABYGAIL,1,Abygail
2017,FEMALE,ABYNA,1,Abyna
2017,FEMALE,ACURA,1,Acura
2017,FEMALE,ADA,9,Ada
2017,FEMALE,ADAEZE,1,Adaeze
2017,FEMALE,ADAIR,1,Adair
2017,FEMALE,ADALEE,1,Adalee
2017,FEMALE,ADALIA,1,Adalia
2017,FEMALE,ADALIE,3,Adalie
2017,FEMALE,ADALINA,3,Adalina
2017,FEMALE,ADALINE,5,Adaline
2017,FEMALE,ADALY,1,Adaly
2017,FEMALE,ADALYN,10,Adalyn
2017,FEMALE,ADALYNN,9,Adalynn
2017,FEMALE,ADAMA,1,Adama
2017,FEMALE,ADAMARI,1,Adamari
2017,FEMALE,ADAMARIS,1,Adamaris
2017,FEMALE,ADAMAURI,1,Adamauri
2017,FEMALE,ADAN,1,Adan
2017,FEMALE,ADARA,2,Adara
2017,FEMALE,ADDALYN,1,Addalyn
2017,FEMALE,ADDALYNN,1,Addalynn
2017,FEMALE,ADDELAIDE,1,Addelaide
2017,FEMALE,ADDELYN,1,Addelyn
2017,FEMALE,ADDIE,1,Addie
2017,FEMALE,ADDILYN,2,Addilyn
2017,FEMALE,ADDILYNN,2,Addilynn
2017,FEMALE,ADDISON,21,Addison
2017,FEMALE,ADDISONLOU,1,Addisonlou
2017,FEMALE,ADDISYN,1,Addisyn
2017,FEMALE,ADDYSON,3,Addyson
2017,FEMALE,ADELA,1,Adela
2017,FEMALE,ADELAIDA,1,Adelaida
2017,FEMALE,ADELAIDE,8,Adelaide
2017,FEMALE,ADELANY,1,Adelany
2017,FEMALE,ADELAYDA,1,Adelayda
2017,FEMALE,ADELAYZA,1,Adelayza
2017,FEMALE,ADELE,1,Adele
