year,sex,name,au_rank,tx_rank,rank_delta,au_n
2019,MALE,Miles,23,93,70,52
2022,MALE,Miles,16,85,69,58
2018,FEMALE,Lucy,27,94,67,34
2019,MALE,Theodore,21,87,66,53
2020,FEMALE,Isla,30,92,62,32
2021,MALE,Miles,26,87,61,47
2018,FEMALE,Maya,27,87,60,34
2020,MALE,Jack,8,68,60,66
2023,MALE,Owen,17,76,59,57
2020,MALE,Miles,39,97,58,38
2020,MALE,Austin,28,85,57,44
2019,FEMALE,Lucy,30,86,56,32
2020,FEMALE,Lucy,34,90,56,31
2017,MALE,Charles,25,80,55,53
2020,FEMALE,Nora,36,91,55,30
2018,MALE,Jack,14,68,54,59
2023,MALE,Jack,7,60,53,67
2017,FEMALE,Claire,27,79,52,36
2017,MALE,Henry,10,61,51,67
2020,MALE,Charles,27,78,51,45
2023,MALE,Charles,45,96,51,37
2021,FEMALE,Lucy,32,82,50,31
2021,MALE,Luca,20,70,50,51
2022,FEMALE,Isla,29,79,50,36
2023,FEMALE,Madeline,37,87,50,30
2024,MALE,Jack,13,63,50,66
2018,MALE,Henry,6,55,49,71
2020,MALE,Leo,21,70,49,49
2020,MALE,Theodore,28,77,49,44
2021,FEMALE,Maya,23,72,49,37
2021,MALE,Jack,7,56,49,70
2022,MALE,Brooks,48,97,49,35
2024,MALE,Owen,26,75,49,53
2021,MALE,Theodore,10,58,48,68
2021,MALE,Leo,17,65,48,57
2023,MALE,Miles,31,78,47,45
2024,MALE,Miles,22,69,47,55
2024,MALE,Jackson,33,80,47,47
2022,MALE,Jack,17,63,46,57
2019,MALE,Jack,16,61,45,59
2017,MALE,Jack,25,69,44,53
2020,MALE,Nolan,42,86,44,37
2021,FEMALE,Isla,27,71,44,34
2018,MALE,Hudson,27,70,43,47
2024,FEMALE,Maya,25,68,43,38
2019,MALE,Owen,30,72,42,45
2024,MALE,Nolan,48,90,42,38
2024,MALE,Brooks,57,99,42,33
2019,MALE,Henry,6,47,41,79
2019,MALE,Thomas,33,74,41,43
2023,FEMALE,Lucy,23,64,41,36
2017,FEMALE,Stella,35,75,40,30
2017,MALE,Jackson,14,54,40,63
2017,MALE,Nolan,55,95,40,37
2018,FEMALE,Violet,15,55,40,46
2020,MALE,Luca,49,89,40,34
2022,MALE,Charles,46,86,40,37
2023,FEMALE,Isla,28,68,40,35
2024,FEMALE,Lucia,17,57,40,45
2024,FEMALE,Nora,25,65,40,38
2024,MALE,Charles,52,92,40,36
2019,MALE,Adam,59,98,39,32
2021,FEMALE,Nora,26,65,39,35
2022,FEMALE,Nora,23,62,39,39
2024,FEMALE,Isla,35,74,39,35
2017,FEMALE,Katherine,32,70,38,34
2019,MALE,Hudson,33,71,38,43
2022,FEMALE,Maya,23,61,38,39
2023,FEMALE,Maya,17,55,38,43
2017,MALE,Hudson,36,73,37,47
2018,MALE,Charles,40,77,37,40
2023,FEMALE,Nora,23,60,37,36
2023,MALE,Wyatt,33,70,37,43
2023,MALE,Jackson,36,73,37,42
2024,FEMALE,Madeline,40,77,37,34
2018,MALE,Nolan,62,98,36,32
2019,FEMALE,Lillian,35,71,36,30
2019,FEMALE,Stella,31,66,35,31
2023,FEMALE,Lucia,31,66,35,33
2021,MALE,Owen,40,74,34,41
2021,MALE,Charles,48,82,34,37
2022,MALE,Theodore,14,48,34,61
2023,MALE,Leo,22,56,34,53
2017,FEMALE,Eleanor,24,57,33,39
2018,FEMALE,Stella,35,68,33,30
2017,FEMALE,Lillian,21,53,32,41
2020,FEMALE,Hannah,17,49,32,41
2022,MALE,Wyatt,36,68,32,43
2023,MALE,Theodore,5,37,32,77
2020,MALE,Owen,42,73,31,37
2022,MALE,Logan,26,57,31,49
