sex,name,name_canon,au_births_total,tx_rank
MALE,Everett,EVERETT,99,outside TX top 100
MALE,Theodore,THEODORE,89,outside TX top 100
FEMALE,Josephine,JOSEPHINE,69,outside TX top 100
MALE,Brooks,BROOKS,64,outside TX top 100
MALE,August,AUGUST,63,outside TX top 100
MALE,Miles,MILES,39,outside TX top 100
MALE,Austin,AUSTIN,38,outside TX top 100
MALE,Wesley,WESLEY,38,outside TX top 100
MALE,Arthur,ARTHUR,34,outside TX top 100
MALE,Max,MAX,34,outside TX top 100
MALE,Bennett,BENNETT,33,outside TX top 100
MALE,Archer,ARCHER,32,outside TX top 100
MALE,Harrison,HARRISON,32,outside TX top 100
MALE,Nicolas,NICOLAS,32,outside TX top 100
FEMALE,Ruby,RUBY,31,outside TX top 100
MALE,Cameron,CAMERON,31,outside TX top 100
FEMALE,Margot,MARGOT,30,outside TX top 100
