name_canon,name_raw,births
A'A NAYHIA,A'A NAYHIA,1
A'AMINAH,A'AMINAH,1
A'AMIRA,A'AMIRA,2
A'ARIAH,A'ARIAH,1
A'AYDEN,A'AYDEN,1
A'BRIELLA,A'BRIELLA,1
A'CARI,A'CARI,1
A'CEYION,A'CEYION,1
A'CHANTE,A'CHANTE,1
A'DORE,A'DORE,1
A'DREAM,A'DREAM,1
A'DRICK,A'DRICK,1
A'HAZI,A'HAZI,1
A'HRIA,A'HRIA,1
A'KADRIA,A'KADRIA,1
A'KAIYUS,A'KAIYUS,1
A'KARAI,A'KARAI,1
A'KARI,A'KARI,1
A'KIING,A'KIING,1
A'KING,A'KING,1
A'KIRA,A'KIRA,1
A'KOAH,A'KOAH,1
A'LABYRINTH,A'LABYRINTH,1
A'LAI,A'LAI,1
A'LAIA,A'LAIA,1
A'LAIJAH,A'LAIJAH,1
A'LAIYA,A'LAIYA,2
A'LAJAH,A'LAJAH,1
A'LANI,A'LANI,2
A'LAYA,A'LAYA,1
A'LAYAH,A'LAYAH,3
A'LAYZA,A'LAYZA,1
A'LE,A'LE,1
A'LEGACI,A'LEGACI,1
A'LERON,A'LERON,1
A'LIJAH,A'LIJAH,1
A'LISA,A'LISA,1
A'LLAYIAH,A'LLAYIAH,1
A'LON,A'LON,1
A'LONI,A'LONI,1
A'LONNEI,A'LONNEI,1
A'LYRIC,A'LYRIC,2
A'LYRIKA,A'LYRIKA,1
A'LYVIAH,A'LYVIAH,1
A'MANI,A'MANI,1
A'MARI,A'MARI,1
A'MARIA,A'MARIA,1
A'MARIE,A'MARIE,4
A'MARION,A'MARION,2
A'MAURY,A'MAURY,1
A'MAYA,A'MAYA,2
A'MAZEN,A'MAZEN,1
A'MIA,A'MIA,1
A'MIL,A'MIL,1
A'MILA,A'MILA,1
A'MILANI,A'MILANI,1
A'MILLIANNA,A'MILLIANNA,1
A'MIR,A'MIR,3
A'MIRA,A'MIRA,1
A'MIRACLE,A'MIRACLE,2
A'MIYAH,A'MIYAH,2
A'MORA,A'MORA,1
A'MORI,A'MORI,1
A'MOURA,A'MOURA,2
A'MYA,A'MYA,3
A'MYIS,A'MYIS,2
A'MYLAH,A'MYLAH,1
A'MYROH,A'MYROH,1
A'NAILAH,A'NAILAH,1
A'NARI,A'NARI,1
A'NIYAH,A'NIYAH,4
A'NNIYAH-MONAE,A'NNIYAH-MONAE,1
A'NYA,A'NYA,3
A'RI,A’RI,1
A'RIA,A'RIA,1
A'RIAH,A’RIAH,1
A'RION,A'RION,1
A'RIYAH,A'RIYAH,3
A'RMANI,A'RMANI,1
A'RYAH,A'RYAH,1
A'SAIAH,A'SAIAH,1
A'SAUN,A'SAUN,1
A'SIAUN,A'SIAUN,1
A'STORM,A'STORM,1
A'TREYUS,A'TREYUS,1
A'URORA,A'URORA,1
A'VEYA,A'VEYA,1
A'VIANA,A'VIANA,1
A'VYANA,A'VYANA,1
A'XAVIAN,A'XAVIAN,1
A'XIA,A'XIA,1
A'YANI,A'YANI,1
A'YANNA,A'YANNA,1
A'YAURI,A'YAURI,1
A'ZAILA,A'ZAILA,1
A'ZARIA,A'ZARIA,1
A'ZARIAH,A'ZARIAH,1
A'ZARIYAH,A'ZARIYAH,1
A'ZAVIER,A'ZAVIER,1
A'ZION,A'ZION,1
A'ZURII,A'ZURII,1
A'ZYAH,A'ZYAH,1
A'ZYLAH,A'ZYLAH,1
AA'RIYA,AA'RIYA,1
AABHA,AABHA,3
AADA,AADA,1
AADAVAN,AADAVAN,1
AADEN,AADEN,1
AADHAN,AADHAN,1
AADHANYA,AADHANYA,1
AADHAV,AADHAV,1
AADHAVAN,AADHAVAN,2
AADHI,AADHI,1
AADHIL,AADHIL,1
AADHIRA,AADHIRA,8
AADHIRAA,AADHIRAA,1
AADHIRAN,AADHIRAN,3
AADHIRRAN,AADHIRRAN,1
AADHISH,AADHISH,1
AADHISHA,AADHISHA,1
AADHISHARAN,AADHISHARAN,1
AADHITHRI REDDY,AADHITHRI REDDY,1
AADHITHYA,AADHITHYA,1
AADHITYAN,AADHITYAN,1
AADHVI,AADHVI,1
AADHVIK,AADHVIK,5
AADHVIKA,AADHVIKA,1
AADHYA,AADHYA,33
AADHYA PAARI,AADHYA PAARI,1
AADHYA REDDY,AADHYA REDDY,3
AADHYASRI,AADHYASRI,1
AADI,AADI,5
AADIDEV,AADIDEV,1
AADIL,AADIL,1
AADILA,AADILA,1
AADIN,AADIN,1
AADIR,AADIR,1
AADIRA,AADIRA,1
AADIT,AADIT,5
AADITH,AADITH,3
AADITRI,AADITRI,1
AADITYA,AADITYA,2
AADIYA,AADIYA,2
AADRITHI,AADRITHI,1
AADRITI,AADRITI,1
AADVEE,AADVEE,1
AADVIK,AADVIK,8
AADVIKA,AADVIKA,2
AADVIKA REDDY,AADVIKA REDDY,1
AADVITHA,AADVITHA,1
AADYA,AADYA,19
AADYAN,AADYAN,1
AADYN,AADYN,1
AAFIYAH ANUM,AAFIYAH ANUM,1
AAGAM,AAGAM,1
AAGAT,AAGAT,1
AAGNA,AAGNA,1
AAGRATHA,AAGRATHA,1
AAHAAN,AAHAAN,2
AAHAN,AAHAN,2
AAHANA,AAHANA,8
AAHID,AAHID,1
AAHIL,AAHIL,3
AAHNA,AAHNA,4
AAHREN,AAHREN,1
AAI'LANI,AAI'LANI,1
AAIDYN,AAIDYN,1
AAILYAH,AAILYAH,1
AAIMA,AAIMA,1
AAINA,AAINA,1
AAIRA,AAIRA,3
AAIRA PRASAD,AAIRA PRASAD,1
AAITANA,AAITANA,1
AAIZA,AAIZA,1
AAJAY,AAJAY,1
AAKARSH,AAKARSH,1
AAKASH,AAKASH,5
AALAYAH,AALAYAH,3
AALEEN,AALEEN,1
AALEEYA,AALEEYA,1
AALEIYAH,AALEIYAH,1
AALEK,AALEK,1
AALEYAH,AALEYAH,4
AALIA,AALIA,2
AALIAH,AALIAH,1
AALIJAH,AALIJAH,1
AALINA,AALINA,1
AALIYA,AALIYA,2
AALIYAH,AALIYAH,135
AALIYAH-NOOR,AALIYAH-NOOR,1
AALYA,AALYA,1
AALYAH,AALYAH,1
AAMAJIAH,AAMAJIAH,1
AAMAL,AAMAL,1
AAMARA,AAMARA,1
AAMARI,AAMARI,2
AAMARII,AAMARII,1
AAMARIS,AAMARIS,1
AAMBAL KANNAMA,AAMBAL KANNAMA,1
AAMENA,AAMENA,2
AAMIA,AAMIA,1
AAMINAH,AAMINAH,1
AAMIR,AAMIR,4
AAMIR-LASALLE,AAMIR-LASALLE,1
AAMIRAH,AAMIRAH,1
AAMIYAH,AAMIYAH,1
AAMNA,AAMNA,2
AANAV,AANAV,1
AANAYA,AANAYA,1
AANIKA,AANIKA,1
AANIYA,AANIYA,1
AANIYAH,AANIYAH,1
AANSHI,AANSHI,2
AANSHI CHANDRA,AANSHI CHANDRA,1
AANUEL,AANUEL,2
AANUOLUWATOMIWA,AANUOLUWATOMIWA,1
AANVI,AANVI,6
AANVI REDDY,AANVI REDDY,1
AANVIKA,AANVIKA,1
AANYA,AANYA,22
AANYA REDDY,AANYA REDDY,1
AAPTI,AAPTI,1
AARADH,AARADH,1
AARADHANA,AARADHANA,1
AARADHYA,AARADHYA,14
AARADHYA REDDY,AARADHYA REDDY,2
AARALYNN,AARALYNN,1
AARAM,AARAM,1
AARANAN,AARANAN,1
AARAV,AARAV,58
AARAV AUGUSTINE REDDY,AARAV AUGUSTINE REDDY,1
AARAV NANDAN,AARAV  NANDAN,1
AARAV REDDY,AARAV REDDY,2
AARAV SAI,AARAV SAI,1
AARAVI,AARAVI,1
AARCHI,AARCHI,2
AAREEV,AAREEV,1
AAREN,AAREN,3
AARI,AARI,1
AARIA,AARIA,4
AARIC,AARIC,1
AARIK,AARIK,1
AARIKA,AARIKA,2
AARIN,AARIN,4
AARINI,AARINI,1
AARINOLA,AARINOLA,1
AARION,AARION,1
AARIS,AARIS,1
AARISH,AARISH,1
AARIT,AARIT,4
AARIV,AARIV,19
AARIV REDDY,AARIV REDDY,1
AARIV SAI,AARIV SAI,1
AARIYA,AARIYA,1
AARIYAN,AARIYAN,1
AARIZ,AARIZ,3
AARMUND,AARMUND,1
AARNA,AARNA,21
AARNA NAIDU,AARNA NAIDU,1
AARNAV,AARNAV,1
AARNAVI,AARNAVI,5
AARNIK,AARNIK,3
AARNISH,AARNISH,1
AARO,AARO,2
AAROGYA,AAROGYA,1
AAROH,AAROH,1
AAROHI,AAROHI,7
AAROM,AAROM,1
AARON,AARON,244
AARON,AARÓN,21
AARON,AÁRON,2
AARON ALEXANDER,AARON ALEXANDER,1
AARON BERNARD,AARON BERNARD,1
AARON ETHAN,AARON ETHAN,1
AARON LEGRANG,AARON LEGRANG,1
AARON-JAHMIR,AARON-JAHMIR,1
AARSHITA,AARSHITA,1
AARSHVI PRASHASTH,AARSHVI PRASHASTH,1
AARSON,AARSON,1
AARTHAV,AARTHAV,1
AARTHI,AARTHI,1
AARTI,AARTI,1
AARUHI,AARUHI,2
AARUNYA,AARUNYA,2
AARUS,AARUS,1
AARUSH,AARUSH,21
AARUSH REDDY,AARUSH REDDY,1
AARUSHA,AARUSHA,1
AARUSHI,AARUSHI,3
AARUV,AARUV,2
AARVI,AARVI,3
AARVIK,AARVIK,3
AARVIKA,AARVIKA,1
AARVIN,AARVIN,1
AARYA,AARYA,36
AARYAMAN,AARYAMAN,1
AARYAN,AARYAN,13
AARYANA RACHEL,AARYANA RACHEL,1
AARYANSH,AARYANSH,2
AARYASH,AARYASH,1
AARYAV,AARYAV,3
AARYN,AARYN,4
AARYUSH,AARYUSH,1
AARZU,AARZU,1
AASHAY,AASHAY,2
AASHI,AASHI,1
AASHIL,AASHIL,1
AASHKA,AASHKA,1
AASHNA,AASHNA,1
AASHRA,AASHRA,2
AASHRIT,AASHRIT,1
AASHRITH,AASHRITH,6
AASHRITHA,AASHRITHA,2
AASHVI,AASHVI,18
AASHVIK,AASHVIK,1
AASIM,AASIM,1
AASIYA,AASIYA,3
