year,sex,tx_rank,name_canon,tx_n
2017,MALE,1,NOAH,1953
2017,MALE,2,LIAM,1844
2017,MALE,3,SEBASTIAN,1595
2017,MALE,4,MATEO,1523
2017,MALE,5,ELIJAH,1482
2017,MALE,6,MATTHEW,1429
2017,MALE,7,JACOB,1412
2017,MALE,8,DANIEL,1374
2017,MALE,9,ETHAN,1353
2017,MALE,10,DAVID,1344
2017,MALE,11,JOSE,1344
2017,MALE,12,ALEXANDER,1264
2017,MALE,13,JAMES,1251
2017,MALE,14,JAYDEN,1238
2017,MALE,15,MICHAEL,1213
2017,MALE,16,BENJAMIN,1199
2017,MALE,17,AIDEN,1197
2017,MALE,18,JULIAN,1173
2017,MALE,19,WILLIAM,1159
2017,MALE,20,DYLAN,1130
2017,MALE,21,LUKE,1124
2017,MALE,22,OLIVER,1103
2017,MALE,23,LOGAN,1098
2017,MALE,24,SANTIAGO,1093
2017,MALE,25,SAMUEL,1067
2017,MALE,26,AARON,1031
2017,MALE,27,ANGEL,1027
2017,MALE,28,MASON,1015
2017,MALE,29,CHRISTOPHER,1013
2017,MALE,30,ISAAC,1011
2017,MALE,31,JOSHUA,998
2017,MALE,32,LUCAS,978
2017,MALE,33,JOSEPH,962
2017,MALE,34,ANTHONY,958
2017,MALE,35,ADRIAN,950
2017,MALE,36,JOSIAH,929
2017,MALE,37,CHRISTIAN,921
2017,MALE,38,GABRIEL,901
2017,MALE,39,NATHAN,893
2017,MALE,40,LEVI,887
2017,MALE,41,JOHN,868
2017,MALE,42,ANDREW,856
2017,MALE,43,JAXON,826
2017,MALE,44,JUAN,815
2017,MALE,45,ISAIAH,799
2017,MALE,46,WYATT,798
2017,MALE,47,IAN,783
2017,MALE,48,JONATHAN,783
2017,MALE,49,LEONARDO,778
2017,MALE,50,CALEB,762
2017,MALE,51,LUIS,761
2017,MALE,52,EZEKIEL,756
2017,MALE,53,JESUS,747
2017,MALE,54,JACKSON,744
2017,MALE,55,ELI,732
2017,MALE,56,GRAYSON,729
2017,MALE,57,JEREMIAH,726
2017,MALE,58,DIEGO,724
2017,MALE,59,RYAN,719
2017,MALE,60,CARTER,679
2017,MALE,61,HENRY,678
2017,MALE,62,CARLOS,669
2017,MALE,63,AXEL,624
2017,MALE,64,DAMIAN,616
2017,MALE,65,EZRA,599
2017,MALE,66,THOMAS,591
2017,MALE,67,ELIAS,587
2017,MALE,68,LINCOLN,583
2017,MALE,69,JACK,578
2017,MALE,70,ASHER,554
2017,MALE,71,OWEN,552
2017,MALE,72,GAEL,539
2017,MALE,73,HUDSON,532
2017,MALE,74,JORDAN,522
2017,MALE,75,LANDON,504
2017,MALE,76,ROBERT,502
2017,MALE,77,MIGUEL,501
2017,MALE,78,EASTON,496
2017,MALE,79,JASON,491
2017,MALE,80,CHARLES,485
2017,MALE,81,NICHOLAS,471
2017,MALE,82,ALEJANDRO,469
2017,MALE,83,HUNTER,466
2017,MALE,84,IVAN,465
2017,MALE,85,ADAM,463
2017,MALE,86,JACE,458
2017,MALE,87,XAVIER,456
2017,MALE,88,AUSTIN,446
2017,MALE,89,AYDEN,445
2017,MALE,90,BRANDON,439
2017,MALE,91,EVAN,432
2017,MALE,92,EMMANUEL,427
2017,MALE,93,ALAN,426
2017,MALE,94,DOMINIC,426
2017,MALE,95,NOLAN,424
2017,MALE,96,VICTOR,422
2017,MALE,97,CONNOR,420
2017,MALE,98,KEVIN,419
2017,MALE,99,COOPER,417
2017,MALE,100,EMILIANO,407
2017,FEMALE,1,EMMA,2316
2017,FEMALE,2,MIA,1887
2017,FEMALE,3,ISABELLA,1850
2017,FEMALE,4,SOPHIA,1827
2017,FEMALE,5,OLIVIA,1782
2017,FEMALE,6,AVA,1429
2017,FEMALE,7,CAMILA,1363
2017,FEMALE,8,SOFIA,1323
2017,FEMALE,9,ABIGAIL,1128
2017,FEMALE,10,VICTORIA,1116
2017,FEMALE,11,EMILY,1092
2017,FEMALE,12,EVELYN,1082
2017,FEMALE,13,CHARLOTTE,993
2017,FEMALE,14,AMELIA,949
2017,FEMALE,15,ELIZABETH,946
2017,FEMALE,16,AVERY,924
2017,FEMALE,17,SCARLETT,811
2017,FEMALE,18,HARPER,804
2017,FEMALE,19,GENESIS,787
2017,FEMALE,20,MADISON,733
2017,FEMALE,21,PENELOPE,707
2017,FEMALE,22,XIMENA,704
2017,FEMALE,23,ALEXA,670
2017,FEMALE,24,ALLISON,653
2017,FEMALE,25,ZOE,647
2017,FEMALE,26,LEAH,646
2017,FEMALE,27,LAYLA,645
2017,FEMALE,28,MILA,635
2017,FEMALE,29,ARIA,623
2017,FEMALE,30,AUBREY,607
2017,FEMALE,31,CHLOE,586
2017,FEMALE,32,ELLA,564
2017,FEMALE,33,LUNA,545
2017,FEMALE,34,MELANIE,545
2017,FEMALE,35,GRACE,538
2017,FEMALE,36,HANNAH,537
2017,FEMALE,37,ARIANA,536
2017,FEMALE,38,ZOEY,535
2017,FEMALE,39,NATALIE,527
2017,FEMALE,40,BROOKLYN,524
2017,FEMALE,41,ELENA,519
2017,FEMALE,42,SAMANTHA,516
2017,FEMALE,43,AALIYAH,498
2017,FEMALE,44,RILEY,491
2017,FEMALE,45,BELLA,483
2017,FEMALE,46,ANDREA,476
2017,FEMALE,47,CAROLINE,467
2017,FEMALE,48,AUDREY,465
2017,FEMALE,49,ELLIE,465
2017,FEMALE,50,HAZEL,461
